OBP Difference,AVG Difference,SLG Difference,OPS Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Randomness,Home Win
-0.032,-0.006,-0.077,-0.11,0.65,0.164,4.9,0.1,2,-6,1,0.973290823,0
-0.007,-0.014,-0.024,-0.03,-0.36,-0.402,0.2,0.7,3,19,0,0.291257816,1
0.011,0.015,0.07,0.082,7.2,4.8,-9,0,2,43,0,0.29906456,0
0.003,0.007,0.01,0.013,-6.03,-2.341,-0.3,3.5,0,-89,0,0.881883845,0
-0.069,-0.071,-0.166,-0.234,2.76,1.2,3.4,-1.9,0,-36,0,0.579035871,0
-0.002,0.011,-0.022,-0.023,0,0.489,1.5,0,1,-48,0,0.198649543,0
-0.074,-0.073,-0.137,-0.212,1.73,-0.3,2.5,1.3,0,-24,0,0.189752758,0
-0.02,-0.02,-0.086,-0.107,6.91,1.481,10.1,-1.7,1,-106,-1,0.956184448,1
0.007,0.001,0.017,0.023,-3.5,-0.647,1.1,1.7,-2,-232,-1,0.574302469,1
-0.009,-0.008,-0.046,-0.055,-1.65,-0.963,-7.5,1.5,-2,-44,0,0.635504857,1
0.02,0.007,-0.042,-0.023,0.43,0.246,5.1,0.3,-1,27,-1,0.226433227,1
0.002,0.013,-0.016,-0.014,-5.13,-4.86,8.9,5.7,2,-9,-2,0.402539931,0
0.055,0.034,0.135,0.189,2.92,0.717,0.2,-0.9,2,54,1,0.99054149,1
-0.041,-0.01,0.023,-0.018,-2,1.044,0.2,-2.6,0,-29,0,0.735148941,0
0.032,0.012,0.017,0.048,1.38,-1.147,3.7,0.4,-2,72,0,0.230841353,1
0.006,0.031,0.018,0.024,0.14,-0.348,-0.9,-0.8,2,-8,1,0.891453057,1
0.028,0.006,0.004,0.032,1.67,2.336,-0.5,-2.7,3,25,0,0.560489014,1
-0.021,-0.015,0.015,-0.007,-0.68,0.462,3.4,-1,2,39,0,0.299869961,0
-0.001,0.018,0.042,0.04,-1.26,1.659,4.4,-1.2,0,-97,0,0.547644988,1
-0.034,-0.045,-0.121,-0.155,1.14,0.466,-6.5,-0.8,0,-38,0,0.757284674,1
-0.006,0.025,-0.017,-0.024,-3.1,-0.677,-9.3,-0.8,1,-62,0,0.017594174,0
-0.017,-0.049,-0.05,-0.067,1.56,1.397,3.5,-0.9,1,-32,0,0.82571127,1
-0.02,-0.016,-0.023,-0.043,-2.97,-0.295,-2.2,-1.3,0,-104,-2,0.892008674,1
-0.021,-0.019,-0.02,-0.041,-8.36,-3.669,3.6,5.2,-3,-228,-2,0.440623433,0
-0.008,0.008,-0.033,-0.04,-3.18,-0.357,1.2,-1.1,-2,-38,0,0.127668355,1
0.032,0.036,0.019,0.052,-8.59,-2.388,-4,1.4,0,37,0,0.499976215,1
-0.03,-0.028,-0.073,-0.101,0.82,-0.105,-1.2,0.2,0,-15,-3,0.326787458,1
-0.003,-0.021,0.01,0.007,0.62,0.182,0.8,0.7,3,58,2,0.357447869,1
-0.014,0.006,0.016,0.001,1.45,-0.549,-0.7,-1.2,-1,-31,-1,0.129413015,1
0.027,0.017,0.015,0.042,1.26,0.258,0.6,1,-1,74,1,0.737493229,1
-0.022,-0.004,-0.054,-0.076,4.8,0.644,-1.4,1.9,0,-6,0,0.866993142,0
0.005,0.005,0.009,0.014,-1.7,-0.766,-4.2,-0.1,3,29,1,0.373751672,0
0.051,0.066,0.122,0.171,-0.89,0.773,-1.6,0.5,0,37,-1,0.122680205,0
0.005,0.029,0.109,0.114,-0.35,0.598,0.4,-1.6,-2,-93,-1,0.467961114,0
-0.081,-0.089,-0.217,-0.299,-0.99,-0.666,3.1,-1.1,0,-34,-1,0.545764564,1
0.017,0.024,0.037,0.054,-2.26,-1.059,-4.1,1.6,0,-72,-1,0.087409959,1
-0.025,-0.041,-0.015,-0.041,-2.11,-1.034,2.6,-0.5,-1,-12,-1,0.76662294,1
-0.016,-0.011,-0.078,-0.094,-2.44,-1.752,1.7,1.7,2,-102,-1,0.720153841,0
-0.039,-0.031,-0.029,-0.068,-0.29,0.133,-0.4,-2.1,-3,-238,-1,0.268488044,0
-0.018,-0.013,-0.045,-0.063,0.14,1.323,2.3,-1.7,0,-32,1,0.535536636,1
-0.003,0.018,0.036,0.034,-0.87,0.279,-5.3,-1.8,-1,0,0,0.41539597,1
0.003,-0.007,-0.002,0.001,-2.68,-1.067,-5.4,-1.1,3,13,0,0.428002664,1
0.016,-0.017,-0.006,0.01,-0.47,1.321,0.6,-4.4,-3,50,0,0.834381193,1
-0.04,-0.032,-0.023,-0.063,0.25,-1.309,1.7,3,-3,-5,0,0.833891099,1
0.038,0.034,0.048,0.085,-2.88,-1.586,-1.3,3.1,1,-30,-1,0.215857858,1
0.008,0.022,-0.031,-0.023,3.04,0.919,-4.8,-1.5,2,-18,1,0.328853919,1
-0.007,-0.022,-0.044,-0.051,-2.35,-1.9,-2,-0.2,2,21,0,0.622539323,0
0.053,0.066,0.084,0.137,-2.64,-1.094,0.8,2.7,-2,-13,0,0.711059041,0
-0.034,-0.041,-0.112,-0.146,4.02,1.29,-1.7,-1,0,-5,0,0.574106044,1
-0.042,-0.052,-0.031,-0.073,-4.98,-2.84,-5.3,1.7,-2,-169,0,0.693708935,0
-0.003,0.012,-0.02,-0.022,3.32,4.205,-8.6,-3.8,2,45,0,0.955517668,0
0.039,0.036,0.015,0.055,-2.22,-2.545,-1.9,3.9,0,6,1,0.192259758,0
-0.041,0.002,0.006,-0.036,0,-1.8,3.6,1.8,0,2,0,0.497033825,0
-0.034,-0.032,-0.035,-0.07,-0.48,-0.089,1.9,-0.4,2,15,0,0.47233964,0
-0.033,-0.023,0.003,-0.03,-0.42,-0.163,1.7,-0.8,0,-36,0,0.110750615,1
-0.01,-0.024,-0.099,-0.109,3.15,1.25,1.8,-2.3,0,-136,0,0.030747452,0
0.015,-0.024,-0.03,-0.015,4.55,0.73,-0.2,-1.1,-2,58,0,0.148553129,0
0.011,0.012,0.027,0.038,2.09,-0.34,-2.8,-0.9,-3,1,0,0.924856254,1
0.048,0.033,0.059,0.107,-0.51,-0.538,2.6,0.5,1,4,-1,0.36613707,0
-0.022,-0.042,-0.067,-0.089,-1.85,-0.899,1.7,-2.5,2,13,0,0.575876912,1
0.06,0.079,0.082,0.142,-3.57,-1.565,-0.7,2.2,-2,-31,0,0.858520107,1
0.029,0.043,0.147,0.176,-5.02,-1.568,4.3,1.2,-2,-48,0,0.235414842,1
0.004,0.01,-0.021,-0.018,-0.63,1.114,4.4,0.5,1,-53,0,0.868718114,1
0.008,-0.005,0.004,0.012,-1.62,0.123,3.2,-0.7,2,-1,0,0.638822146,1
-0.041,-0.057,-0.08,-0.121,-2.84,-1.522,2.8,1.1,-3,-175,0,0.073034024,1
-0.014,0.007,-0.044,-0.058,6.56,4.653,0.3,-7.3,2,21,0,0.486896296,1
0.008,0.012,-0.009,-0.002,0.6,-0.468,3.2,-1.7,0,0,1,0.070826726,0
-0.035,-0.01,-0.019,-0.055,-2.35,-0.334,-0.6,-0.6,0,-2,1,0.991984553,1
0.023,-0.002,0.061,0.085,-1.29,0.434,-5,-0.1,2,7,1,0.250873754,1
-0.009,0.022,0.034,0.025,-2.08,-0.631,1.3,3.1,0,-34,0,0.556507986,1
-0.067,-0.06,-0.156,-0.223,0.12,-0.373,5.7,1.9,0,-142,0,0.838249107,1
0.035,-0.004,0.016,0.052,1.34,0.736,-0.9,-0.9,0,56,1,0.320813943,0
0,0.003,0.021,0.022,-1.39,-0.628,-1,-1,-2,3,1,0.957032235,1
0.034,0.019,0.05,0.085,3.38,3.375,-7.7,-3.6,2,2,0,0.14817787,1
-0.026,-0.043,-0.109,-0.135,1.9,-0.258,0.4,0.1,1,21,-1,0.579198984,1
0.037,0.056,0.049,0.086,-0.67,-0.654,3.3,-0.2,-3,-21,-1,0.185837487,1
-0.007,-0.002,0.124,0.115,-0.34,-0.722,0.2,0.6,-2,-38,0,0.463350059,1
-0.001,0.008,0.004,0.003,2.8,2.051,0.4,-1.1,1,-45,0,0.331802316,0
-0.018,-0.033,-0.084,-0.102,1.89,0.943,-1.6,-0.5,3,7,1,0.84995117,1
-0.041,-0.052,-0.055,-0.097,-1.98,0.283,1.6,0.1,-3,-173,-1,0.229163003,0
0.023,0.02,0.005,0.028,-0.17,-0.197,-5.8,-1.5,1,27,-1,0.945581508,0
-0.013,-0.016,-0.077,-0.091,-1.32,-0.167,-2.2,1.2,-1,-6,0,0.047037191,1
-0.032,-0.01,-0.031,-0.063,0.41,0.093,7.1,1.8,1,-32,1,0.248422435,1
0.061,0.054,-0.009,0.052,-0.5,-1.798,-6.6,3.7,0,-140,-1,0.119438562,1
-0.016,-0.009,-0.071,-0.086,-3.54,-1.849,-2.8,0.2,-1,-48,-3,0.064360125,1
-0.007,-0.009,-0.087,-0.094,2.62,2.732,1.5,-2.9,3,25,0,0.109913689,0
0.014,0.027,0.139,0.154,-1.43,0.155,0.2,1.1,0,-28,1,0.900787065,0
0.001,0.001,-0.047,-0.046,0.8,0.093,-0.2,-0.6,-2,0,-1,0.467976963,0
0.017,0.02,0.072,0.089,-1.5,-2.153,-0.8,2.3,-1,43,0,0.007681452,1
0.024,0.023,-0.029,-0.005,4.61,2.136,-7.4,-3.1,0,-54,0,0.486578316,0
0.021,0.021,0.141,0.162,-4.53,-0.731,0.7,2.3,0,14,0,0.386936553,1
-0.014,-0.012,-0.042,-0.056,-4.1,-2.976,1.3,-0.9,1,-51,0,0.075867397,0
-0.083,-0.081,-0.137,-0.219,-2.81,-2.317,-3.3,2.8,-3,-3,0,0.539363436,1
-0.093,-0.098,-0.155,-0.249,-1.01,-1.61,-6.8,3.7,-2,-24,0,0.77313811,0
0.046,0.035,0.098,0.144,1.86,0.748,-2.3,-1.6,-1,32,-1,0.000961964,1
0.065,0.082,0.063,0.129,-4.29,-2.06,0.5,0.7,-1,-32,-3,0.245283897,0
0.013,0.014,0.01,0.023,1.8,0.68,0,0.5,0,24,0,0.63059394,0
0.031,0.052,0.076,0.107,-2.82,-2.112,0.4,2.4,-2,-34,0,0.057539125,1
-0.004,0.014,0.051,0.047,-0.74,-0.958,2.6,4.6,0,-1,-2,0.709188247,1
-0.035,-0.018,-0.077,-0.114,3.68,-0.19,-1.1,-1.6,4,192,0,0.300622289,1
0.023,0.026,0.114,0.137,2.83,2.198,3.8,2.2,-1,120,0,0.829456173,1
0.021,0.01,0.059,0.08,-4.29,-4.857,6.6,3,0,112,0,0.511777739,1
0.014,0.005,0.001,0.016,0.75,0.287,2.5,-1,-1,-14,0,0.981115511,0
0.026,0.024,0.084,0.11,1.44,-0.413,0.4,0.7,-1,51,0,0.394773992,0
0.048,0.045,0.019,0.066,-1.11,-0.126,3,-0.8,-1,-62,0,0.614232001,0
-0.026,-0.021,-0.049,-0.075,2.2,1.263,-2.8,-0.6,1,-69,0,0.459363806,1
-0.046,-0.048,-0.101,-0.146,6.19,1.614,4.3,-1.5,-3,17,0,0.864330724,0
-0.043,-0.044,-0.1,-0.142,-1.31,-0.984,-2.1,0.9,-2,-34,0,0.122061841,0
-0.017,-0.03,0.005,-0.011,2.21,1.23,0,0,-1,34,-1,0.081221514,0
0.036,0.042,0.017,0.054,1.01,-0.625,1.4,1.5,1,-42,-2,0.487614101,1
0.033,0.033,0.052,0.084,-0.43,-2.043,-1.2,1,-1,20,0,0.39188489,1
0.011,0.025,0.004,0.014,1.12,0.254,-4.4,0.6,-1,-32,0,0.316537217,0
0.011,0.02,0.039,0.05,3.26,0.631,2.9,-1.1,0,3,-2,0.673257175,1
-0.012,-0.013,-0.047,-0.059,1.87,-0.449,0.1,1.6,4,200,0,0.986419472,1
0.024,0.028,0.117,0.142,1.25,1.17,0.9,-3.1,-1,122,0,0.614169773,1
-0.005,-0.006,0.027,0.023,0.04,-0.043,-0.4,1.1,0,122,0,0.758619009,1
-0.003,0.013,0.001,-0.002,1.19,-0.204,-3.7,2.2,0,-22,0,0.421312452,0
0.029,0.029,0.074,0.103,-4.79,-2.667,-1.9,6.5,0,43,1,0.00742491,1
0.011,0.002,-0.029,-0.018,-4.6,-4.744,12.3,3.6,-2,-68,-1,0.527920428,0
-0.027,-0.026,-0.011,-0.038,-1.67,-0.816,-0.4,2.4,1,16,1,0.222764805,1
-0.054,-0.064,-0.072,-0.126,-4.06,-1.372,0.8,1.6,0,-51,-1,0.950396284,1
-0.008,-0.014,-0.012,-0.021,-1.55,-1.063,-3,0.3,-2,15,1,0.709046378,0
-0.03,-0.057,-0.061,-0.092,2.35,0.905,0.7,-0.8,-2,-38,-1,0.077391979,1
0.005,0.014,0.036,0.041,0.31,-0.344,-0.5,1.8,0,32,0,0.079883402,1
0.017,0.029,-0.017,0,-2.76,-1.687,-1,3.9,0,-40,-3,0.766530706,1
0.019,0.029,-0.008,0.01,3.63,0.323,0.3,0.2,-2,26,-1,0.530825877,1
-0.02,0.017,0.035,0.015,0.69,0.434,1.4,1.5,0,-40,1,0.765505508,1
-0.025,-0.012,0.034,0.009,-2.66,-0.8,-0.7,-0.3,2,11,-1,0.452782443,1
0.025,-0.003,-0.008,0.016,6.89,2.737,0.5,-4.5,4,202,1,0.619793934,1
0.026,0.027,0.092,0.118,-0.56,0.419,-2.5,0.2,-1,130,1,0.895743796,0
0.057,0.043,0.094,0.151,0.39,1.114,3.8,1.3,1,134,1,0.532810276,1
0.02,0.002,-0.029,-0.01,1.76,1.046,5.7,-1,-1,-24,-1,0.475067018,0
0.003,0.006,0.005,0.008,6.15,3.38,7.1,-1.1,-1,15,0,0.61420792,0
-0.036,-0.064,-0.169,-0.205,2.62,1.917,1.1,0.9,-3,-61,0,0.593549968,1
0.023,0.022,0.047,0.07,5.17,3.3,-7.9,-5,-2,8,0,0.477344223,1
-0.001,-0.008,0.002,0.001,-0.26,-0.602,-2,1.2,-3,-40,0,0.664275001,0
-0.045,-0.047,-0.079,-0.124,1.07,0.97,6.4,-1.8,-3,-40,0,0.905240865,0
-0.039,-0.038,-0.081,-0.12,-3.92,-4.449,-1.1,3.9,-2,-91,0,0.977616335,1
-0.007,0.001,0.016,0.008,3.49,1.158,0.3,-1.2,-1,-9,-2,0.793254076,1
-0.012,-0.037,-0.109,-0.12,-0.75,0.823,-5.3,-2.4,-2,20,-1,0.102080012,1
-0.008,-0.008,0.006,-0.002,-3.68,-0.98,1,0.8,-1,-20,0,0.374707635,0
0.01,-0.009,-0.03,-0.02,2.25,0.85,-4.7,-1,0,61,0,0.750598117,0
-0.002,0.002,0.007,0.004,4.45,2.676,3.7,-2.4,2,186,3,0.976789952,1
0.005,0.003,0.102,0.107,-4.41,-0.409,-4.8,-2.2,2,117,-1,0.143570154,1
0.011,0.018,0.02,0.03,-3,-3.059,15.2,3.2,1,11,0,0.177235849,0
0.064,0.035,0.068,0.133,1.35,1.375,1.5,-2.7,-4,35,0,0.691019647,1
-0.017,-0.004,-0.063,-0.08,0.93,0.533,2.1,1,-4,-59,0,0.176455965,0
0.004,0.002,0.027,0.03,-3.91,-1.5,-6.2,0.9,-2,12,0,0.068684777,1
-0.007,-0.003,-0.007,-0.014,-1.41,-0.153,1.4,1.5,-4,-60,0,0.281470864,1
-0.025,-0.036,-0.057,-0.082,2.73,1.497,6.6,-0.1,-3,-46,0,0.419103438,0
-0.032,-0.041,-0.111,-0.142,-1,-1.101,-0.9,1.4,-2,-87,0,0.063681012,0
0.015,0.047,0.043,0.058,-0.16,-1.058,1.4,1.7,1,-13,0,0.202133104,0
-0.012,0.003,0.035,0.023,-1.71,0.269,-2.2,-0.5,0,-7,-2,0.43263574,1
-0.021,-0.034,-0.068,-0.09,1.74,-0.286,0.1,-1.1,-3,26,-1,0.858759168,0
-0.008,0.007,0.031,0.023,-1.28,-4.117,1.7,11.6,-1,-26,0,0.225868865,1
0.027,0.009,0,0.026,0.3,0.593,3.1,1.2,-2,55,0,0.63053298,0
-0.021,-0.012,0.014,-0.007,1.9,0.659,1.6,0.1,1,-10,1,0.810175758,1
0.008,0.004,0.006,0.015,0.78,-1.068,-1.8,0.7,1,204,3,0.20380503,1
0.005,0.004,0.085,0.09,1.1,0.98,3.1,-0.3,3,121,-1,0.055409145,0
-0.005,0.013,-0.037,-0.042,-0.97,-0.734,0.7,-0.8,1,-3,-1,0.56926605,1
0.031,0.02,0.038,0.069,0.7,0.877,-3.3,-2,-4,45,0,0.150429523,1
-0.027,-0.037,-0.065,-0.092,2.67,2.745,-0.3,-2.7,-2,-65,1,0.427898724,1
0.067,0.051,0.081,0.148,-3.92,-3.044,0.4,1.8,-1,14,1,0.804196597,0
-0.004,-0.006,-0.002,-0.006,-0.21,0.786,-2.4,-2.1,-5,-48,-1,0.411275431,1
0.001,-0.009,-0.005,-0.005,-8.14,-5.45,2,4.5,-3,-48,-1,0.08785529,1
-0.031,-0.031,-0.063,-0.094,-0.68,-0.002,1.1,1.6,0,-97,1,0.406886667,0
-0.001,0.034,-0.023,-0.024,-0.83,-0.346,1.1,-1.5,1,-19,0,0.152540621,1
-0.014,-0.008,0.022,0.008,-2.79,-1.516,-6.1,2,0,1,-1,0.437494574,1
-0.016,-0.03,-0.065,-0.082,0.75,0.026,-4,-2.3,-3,22,0,0.129757826,0
0.009,0.006,0.061,0.071,0.85,0.643,-1.6,-2.6,-2,-20,-1,0.698263158,0
0.022,-0.025,-0.047,-0.024,0.86,0.321,3.9,0.2,-4,53,-1,0.740645391,1
0.011,-0.006,0.025,0.036,-2.31,-1.51,1,0.9,1,-8,1,0.165737579,0
0.006,0.002,0.017,0.023,1.95,2.677,1.9,-2.7,2,206,4,0.42220905,1
-0.086,-0.088,0.009,-0.076,2.08,0.407,2.3,1.6,3,83,0,0.884921159,1
-0.001,-0.013,0.032,0.03,-2.27,-2.175,-3.5,-0.1,1,86,0,0.571653207,1
0.037,0.043,0.098,0.135,8.68,4.66,-5.3,-4.8,-3,49,1,0.666670722,0
0.006,-0.005,-0.022,-0.016,-1.88,-0.172,1.9,0,-3,-51,0,0.664850349,0
-0.071,-0.077,-0.139,-0.21,0.68,0.294,-2.8,0.4,0,-2,2,0.914004596,1
0,-0.011,-0.037,-0.037,4.42,2.782,-4.4,-1.5,-3,18,-1,0.608952349,0
0.006,0.042,0.004,0.009,-0.1,-0.166,-2.1,0.6,-1,-15,-1,0.247121452,0
0.004,-0.01,-0.086,-0.082,-0.95,0.899,-2.2,-1.2,-2,0,0,0.418237829,1
0.076,0.091,0.307,0.384,-1.68,-0.752,4.5,0.4,1,-14,2,0.589056503,0
0.017,0.025,0.042,0.059,1.2,0.457,1.5,-0.2,2,216,5,0.353789301,1
-0.006,-0.005,0.05,0.044,1.72,2.224,2.8,-4.9,1,91,-1,0.771995848,1
-0.024,-0.006,0.013,-0.012,-2.61,-1.11,-4.9,1.3,2,8,0,0.653407883,0
-0.002,-0.001,0.032,0.03,0.3,0.037,-1.2,1.3,1,92,0,0.179785087,0
0.02,0.011,0.031,0.051,2.44,1.417,-4.5,-1.2,1,58,0,0.870560909,0
-0.047,-0.014,-0.056,-0.103,-1.92,-1.231,-1.3,-0.7,-2,-38,1,0.272311188,0
-0.002,-0.007,-0.023,-0.025,-0.16,0.376,0.1,0.3,-2,8,-1,0.602527238,0
-0.06,-0.072,-0.073,-0.134,-1.09,-0.279,1.8,1.1,3,66,0,0.239697001,0
-0.003,-0.006,0.01,0.007,-3.28,-1.564,4.1,0.7,0,-67,1,0.242965101,0
-0.04,-0.033,-0.098,-0.138,-0.09,0.344,-3.9,-3.9,-2,-53,0,0.922504369,1
-0.023,-0.039,-0.083,-0.106,-1.1,-0.441,-3.4,0.3,-2,10,0,0.987126385,0
-0.035,-0.034,-0.005,-0.04,-2.68,0.131,1.4,1.6,-1,-49,0,0.138219816,0
-0.038,-0.041,-0.002,-0.041,-1.07,-0.54,-1.5,0.7,1,28,0,0.338851004,0
0.034,0.052,0.082,0.118,6.84,4.689,-9.5,-3,3,32,0,0.897352221,0
-0.035,-0.024,-0.018,-0.053,-5.26,-2.045,-0.3,3.6,-5,-222,-3,0.460388278,0
-0.009,-0.02,-0.009,-0.019,-0.17,-0.098,-3.8,-1.2,1,21,0,0.354233572,0
0.011,0.016,0.065,0.076,1.2,0.392,1.4,3,1,58,0,0.586340645,1
-0.002,-0.008,0.02,0.018,0.53,-0.611,0.5,4.1,2,-2,0,0.006745048,0
0,-0.007,0.03,0.03,0.5,-0.558,-0.8,1.2,1,88,1,0.551402515,0
0.008,0.009,0.065,0.073,-4.6,-1.641,1.1,-2,1,40,0,0.110948531,0
0.006,0.003,-0.045,-0.04,2.45,-0.112,-3.8,0.5,-2,-44,1,0.211612944,1
-0.021,-0.032,-0.075,-0.097,-1.05,-0.317,-1,1.6,-2,-20,-2,0.25451057,0
-0.03,-0.037,0.021,-0.007,1.99,1.824,0.5,-2.2,4,58,0,0.904906788,0
-0.034,-0.023,-0.049,-0.083,-0.61,-0.938,-2.2,-1.2,0,-87,1,0.868956008,0
-0.06,-0.042,-0.13,-0.191,2.04,1.064,-1.4,-3.3,-2,-51,0,0.703858425,0
-0.006,-0.03,-0.074,-0.08,-1.77,0.25,1.2,-2.2,-1,-8,1,0.136946972,1
0.013,0.009,0.005,0.018,-4.86,-0.825,0.5,-0.5,-1,-53,0,0.829235771,0
0.016,-0.033,0.014,0.03,-0.83,-0.087,3.7,-1.1,1,24,0,0.844358981,1
-0.009,0.006,0.02,0.011,1.5,-0.007,2.4,-0.4,2,24,0,0.302204725,1
-0.052,-0.035,-0.04,-0.092,-0.61,-1.264,-4.5,1.5,-5,-228,-3,0.189003499,0
-0.01,-0.026,-0.032,-0.041,0.08,0.341,1.7,-1.3,2,11,0,0.073396911,1
0.014,0.027,0.049,0.063,3,3.316,-10.9,-2.2,2,70,0,0.726988512,0
0.001,-0.008,-0.021,-0.02,2.01,0.516,0.8,0.5,1,-4,-1,0.134223892,1
0.001,-0.01,0.028,0.028,0,0.895,6.3,1.2,-1,86,0,0.095854015,1
0.011,0.006,0.055,0.064,2.9,1.453,1.5,-1.5,0,34,-1,0.167836193,0
0.016,0.022,-0.025,-0.009,-2.16,0.06,-1.6,-1.1,-2,-38,0,0.069050116,1
0.013,0.019,-0.006,0.008,-2.54,0.132,-0.9,1.5,-2,-24,-3,0.394908965,1
0.071,0.061,0.077,0.147,0.37,-0.03,-4.1,-0.4,2,52,-1,0.354107133,0
-0.029,-0.038,-0.047,-0.075,6.46,1.221,2.3,-0.5,-1,-91,0,0.036325602,1
-0.038,-0.032,-0.12,-0.159,-0.71,0.66,-2.5,-0.1,-2,-53,1,0.145868675,1
0.026,-0.003,-0.041,-0.015,2.42,1.161,-0.3,-1.6,-2,0,0,0.330607452,1
-0.033,-0.04,-0.011,-0.044,3.91,4.618,-11.2,-4.8,-3,-57,-1,0.171275209,1
0.008,-0.013,0.038,0.047,1.7,0.712,-1,0.5,0,28,-1,0.487656926,0
0.011,0.03,0.076,0.088,1.16,-0.064,-0.2,0.3,0,26,-1,0.14796319,1
-0.028,-0.04,-0.025,-0.054,-4.43,-3.137,-1.2,3.8,-5,-234,-4,0.253465065,0
0.021,0.009,0.042,0.062,-1.66,0.444,1.5,-1,2,21,-1,0.109585249,1
0.033,0.055,0.097,0.131,6.53,3.633,2.2,-4.5,2,68,1,0.62447895,1
0.001,-0.01,-0.003,-0.002,4.7,2.387,-0.3,-2.8,0,60,1,0.789861551,1
-0.014,-0.043,-0.192,-0.207,1.47,0.155,-5,1.8,-2,-116,0,0.681581716,1
0.006,-0.014,0.075,0.081,2.55,0.745,2.3,-0.6,-2,71,0,0.549068143,1
-0.022,0,0.004,-0.018,0.85,1.035,-1.9,-1.5,4,-11,0,0.076550805,1
0.032,0.013,0.045,0.077,-1.57,-0.723,-6.9,-2.8,3,89,0,0.602333871,0
0.023,0.028,0.082,0.105,-0.16,1.79,-0.6,-0.6,2,72,0,0.531796883,0
-0.046,-0.037,-0.099,-0.145,0.74,0.399,2,1.1,0,-57,0,0.868665856,0
-0.01,-0.026,-0.065,-0.074,-2.7,-1.254,-0.4,2.4,-2,-171,0,0.738051345,0
0.052,0.062,0.03,0.082,-1.61,0.018,-3.2,-1.4,2,11,-1,0.908738161,0
-0.075,-0.066,-0.145,-0.22,0,0,0,0,-3,-261,0,0.324367469,1
0.023,0.006,-0.004,0.019,2.6,1.156,-1.2,-1.9,1,10,0,0.214567346,0
-0.016,-0.015,0.008,-0.008,0.93,0.849,3.6,-0.3,-1,64,1,0.323758891,1
0.018,0.013,-0.004,0.014,-4.26,-2.151,-0.2,0.7,-3,-114,0,0.016898764,1
-0.024,-0.051,-0.005,-0.03,3.5,2.043,-0.8,-3.2,-1,81,0,0.111160149,1
-0.004,0.025,-0.02,-0.024,-0.85,0.038,2.6,-0.5,0,-36,0,0.769868323,0
-0.002,0.002,0.014,0.012,6.18,1.624,0.4,1.6,0,25,0,0.952649409,1
-0.005,0.008,0.033,0.028,1.21,1.035,4.4,-1.4,3,9,0,0.163981303,0
0.012,-0.004,0.047,0.059,0.33,-0.63,0.6,0.8,1,75,0,0.684604966,1
0.028,0.022,0.056,0.084,0.94,0.137,1,0,1,62,0,0.070623943,1
-0.01,-0.004,0.008,-0.002,-1.46,-1.724,0,1.5,-3,35,0,0.495620819,0
-0.035,0.001,0.012,-0.022,0.82,0.888,3.6,-1.6,-1,-61,0,0.550021237,1
-0.055,-0.074,-0.126,-0.182,-0.29,2.231,2.5,-2.2,0,-181,0,0.413935336,0
0,0.009,-0.071,-0.071,-1.44,-1.891,-2.3,1.8,3,7,-1,0.242255034,1
-0.003,0.007,-0.082,-0.087,-2.75,0.176,0.9,-0.8,-3,-251,0,0.273752366,1
-0.022,-0.027,-0.09,-0.111,1.71,1.068,1.6,-1.2,2,-2,0,0.438642766,0
0.053,0.04,0.055,0.109,-2.29,-0.324,2,0.6,0,41,0,0.897971189,1
0.021,-0.003,0.007,0.028,8.06,3.08,-6.1,-6.3,0,72,2,0.541157125,1
0.002,-0.02,-0.119,-0.117,0.39,-0.284,-0.7,1,-1,-112,1,0.802065678,0
0.008,-0.018,0.075,0.083,-1.4,0.203,0.6,-0.7,1,93,1,0.071475892,0
0.018,0.039,0.025,0.044,0.51,0.464,-0.8,-3.5,0,-46,0,0.828108232,1
-0.012,-0.023,-0.066,-0.078,-2.14,-0.883,-2.6,2.3,0,29,0,0.148895683,1
0.013,0.023,0.061,0.074,-0.48,-1.251,-2.1,2.5,3,7,1,0.549031562,0
0.018,0.017,0.073,0.09,-1.79,-0.922,1.4,-1,-1,68,-1,0.665150823,0
-0.007,0.002,0.023,0.017,0.28,0.009,3.6,1.8,-3,33,0,0.521223926,0
-0.074,-0.029,-0.012,-0.086,-4.32,-1.893,1.5,1.8,-1,-53,-1,0.959686866,0
-0.06,-0.076,-0.116,-0.176,-6.11,-2.039,1.9,1.3,-1,-189,-1,0.648117113,1
-0.011,0.003,-0.023,-0.034,1.14,0.131,1.3,0.9,1,15,-2,0.322707567,0
-0.013,-0.021,-0.095,-0.108,-2.96,-1.854,2.3,0.8,-2,-249,1,0.971886533,0
-0.011,-0.022,-0.087,-0.098,2.15,1.514,-3.1,-2.3,1,-18,-1,0.326408759,1
0.05,0.053,0.064,0.114,-3.73,-2.366,-1.3,4.6,0,51,0,0.44769587,0
0.014,-0.008,-0.012,0.002,0.27,-0.502,0.4,2.7,1,84,4,0.100036874,1
0.028,0.041,0.037,0.065,2.01,0.169,1,0.3,2,-44,0,0.248269671,0
0.007,-0.008,-0.01,-0.003,2.03,0.993,1.4,-1,1,35,2,0.036981488,1
-0.013,0.002,0.061,0.048,-0.57,0.634,-2.3,-1.2,-4,31,-2,0.213705267,1
-0.014,-0.006,-0.018,-0.032,0.5,-1.083,0.4,1.4,1,37,1,0.870447456,1
